id,Label,Tipo,Asignatura,Unidad,Semestre,Competencia,Nivel_Dominio_formativo,Ciclo_formativo,Nivel_Logro_Aprendizaje,Linea_formativa
26,- Politicas sociales de fomento a la produccion de empleos y desarrollo de la pequena y mediana empresa.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
27,- Inmigracion genero seguridad ciudadana y corrupcion como nuevos desafios a resolver por la politica social.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
28,- Politicas sociales y el nuevo rol ciudadano de los chilenos.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
29,- Focalizacion de sectores de la ciudadania y situaciones emergentes para su abordaje.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
30,RA_133_U3.1: Clasificar los distintos sujetos sociales emergentes con una respuesta programatica de la politica social en Chile.,R_A,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
31,- Desarrollo social. Pobreza y empleabilidad.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
32,- Familia e infancia. Oferta programatica de Sename violencia intrafamiliar identidad de genero.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
33,- Salud y prevision social. Fonasa e Isapre. Sistemas de ahorro para la vejez.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
34,- Educacion. Gratuidad y convivencia escolar.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
35,- Vivienda. Oferta programatica de Serviu.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
36,- Analisis de la oferta programatica de politicas sociales en Chile.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
37,RA_133_U3.2: Examinar las principales politicas sociales sectoriales que constituyen la oferta programatica del Estado.,R_A,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
38,- Que es politica social: diversidad de conceptos,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
39,- Diferencias y relaciones entre politicas publicas y politicas sociales,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
40,- Operatividad de la politica publica: politica programa proyecto,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
41,- Distincion entre analisis de politicas (policy analisis) y analisis para politicas (policy making),Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
42,- Justificacion del analisis de politicas,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
43,- Orientaciones para el analisis de politicas publicas,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
44,- Relacion entre analisis de politicas sociales gerencia social e intervencion,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
45,- El ambito de accion del analisis de politicas sociales,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
46,- Implicancias del analisis de politicas sociales,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
47,RA_121_U1.1: Identificar las definiciones relacionadas con las politicas sociales sus orientaciones y la importancia de su analisis,R_A,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
48,- Revision historica de las politicas sociales en Chile,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
49,- Analisis de los procesos politicos y economicos y su influencia en la conformacion de las politicas sociales,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
50,- Analisis de los cambios en el rol del Estado y los sistemas de gobierno,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
51,- Politicas sociales en regimenes democraticos y autoritarios,Contenido,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
52,RA_121_U1.2: Relacionar la evolucion historica de las politicas sociales en Chile y los analisis realizados en cada periodo,R_A,TSO-121,1,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
53,- Gestacion de la politica social - Surgimiento del problema - Conformacion de la agenda,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
54,- Diseno - Analisis del problema - Analisis de soluciones - Analisis de factibilidad - Recomendaciones - Plan de accion.,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
55,- Mapas de relaciones entre fases del ciclo de las politicas y posibilidades de analisis.,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
56,- Implementacion - Decision - Presupuestacion - Ejecucion,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
57,- Evaluacion - Procesos - Efectos,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
58,RA_121_U2.1: Situar el analisis de las politicas sociales en el proceso de formulacion de las mismas,R_A,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
59,- Diseno de propuestas especificas para realizar un analisis de politica social:,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
60,- Paradigmas para entender las políticas sociales: - Neoliberal - Socialista - Ecológico - Social identitario,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
61,- Modelo de análisis de política: - Proceso - Producto - Implementación - Análisis crítico,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
62,- Enfoques para el análisis de políticas - Institucional - Redes - Construcción social - Coaliciones promotoras,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
63,RA_121_U2.2: Relacionar paradigmas modelos y enfoques para el correcto analisis de politicas sociales.,R_A,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
64,"- Rol institucional del Estado, capacidades y la noción de “buen gobierno”",Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
65,- Los conceptos de gobernabilidad y gobernanza,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
66,- Consideraciones basicas y enfoques para comprender la gobernabilidad,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
67,- Las condiciones para el desarrollo la gobernabilidad,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
68,- La emergencia de la gobernanza: definiciones y alcances,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
69,- Los efectos de la gobernanza,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
70,- Actores en la construccion de la politica publica,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
71,- Creacion de valor publico en politica publica,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
72,- Mapas de relaciones entre los distintos componentes del contexto de las politicas sociales y los actores principales.,Contenido,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
73,RA_121_U2.3: Relacionar el contexto en el que se desarrollan las politicas sociales respecto a su exito y despliegue.,R_A,TSO-121,2,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
74,- La relacion entre la politica social y el desarrollo,Contenido,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
75,- Politicas sociales y redistribucion,Contenido,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
76,- Impacto de las politicas sociales chilenas en la participacion ciudadana,Contenido,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
77,- Politicas sociales y su aporte a la descentralizacion y el desarrollo local,Contenido,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
78,RA_121_U3.1: Analizar del impacto de las politicas sociales en los procesos de desarrollo.,R_A,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
79,- Construccion de una matriz de analisis de politicas sociales sobre problematicas emergentes: Genero Migracion Discapacidad Envejecimiento Medio ambiente,Contenido,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
80,RA_121_U3.2: Analisis de impacto de las politicas sociales respecto a las necesidades surgidas en problematicas sociales emergentes.,R_A,TSO-121,3,7,4,Avanzado,Profesional,N5-Evaluar,Politicas Sociales
81,"- La dimension politica como categoria constitutiva de lo social. El Estado moderno, origenes y caracteristicas.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
82,"- Gobierno, gobernabilidad, gobernanza. El Estado y la Democracia.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
83,- Tipos de Estado: El Estado moderno como Estado Social. Fundamentos etico/ideologicos de los Estados Sociales.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
84,"- Estado protector, benefactor, redistributivo, subsidiario y subsidiario integrador.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
85,"- ¿Como se originan las politicas?. Agenda Publica, arreglos Institucionales y gobernabilidad.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
86,- La Politicas Sociales como proceso. Etapas de desarrollo.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
87,- Relacion del contexto historico del desarrollo y evolucion del Estado Moderno,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
88,- Mapas de flujos del desarrollo de politicas sociales desde el Estado,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
89,RA_130_U1.1: Identificar las principales nociones y definiciones de Estado y vinculaciones con las Politicas Sociales.,R_A,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
90,- Rol del Estado frente a la Pobreza: Politica Publica y Politica Social: Modelos de Desarrollo y Modelos de Bienestar.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
91,"- Rol del mercado en el funcionamiento, ejecucion y evaluacion de politicas sociales.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
92,- Contexto historico de implementacion del rol de los Estados Sociales y su relacion con los Modelos de Desarrollo.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
93,- Estados Sociales y sus principales orientaciones de Politicas Sociales,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
94,"- Proteccion Social, Asistencia Social, Seguridad Social.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
95,"- Estado, sector privado y sociedad civil: actores principales en el diseño, ejecucion y evaluacion de politicas sociales. El aporte de las Organizaciones de la Sociedad Civil (OSC).",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
96,"RA_130_U1.2: Describir la formacion y evolucion del Estado en Chile y las Politicas Sociales derivadas de su accion, respecto al peso e importancia que ocupan los distintos actores sociales en el diseño, ejecucion y evaluacion de estas.",R_A,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
97,- Las Politicas Sociales en Chile post dictadura. Objetivos y orientaciones.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
98,"- Las Politicas Sociales en los Gobiernos de Patricio Aylwin, Eduardo Frei, Ricardo Lagos, Michelle Bachelet, Sebastian Piñera y Michelle Bachelet.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
99,"- Politicas sectoriales: Salud, Educacion, Vivienda",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
100,"- Grupos prioritarios: Infancia, Adultos Mayores, Personas en Situacion de Calle, Familias de Personas privadas de libertad. Grupos emergentes: Clase media y migrantes.",Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
101,- Enfoque sectorial y enfoque territorial: La bajada de las politicas mediante programas. La articulacion y coordinacion de politicas sociales mediante subsistemas.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
102,- Revision de la implementacion de las politicas sociales en los distintos gobiernos y sus fundamentos politicos.,Contenido,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
103,RA_130_U1.3: Distinguir la lógica del funcionamiento de las políticas Sociales en Chile desde los distintos gobiernos y orientaciones políticas.,R_A,TSO-130,1,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
104,- La centralizacion del poder politico y economico en Chile: La tension entre descentralizacion y desconcentracion de las politicas sociales y su impacto en lo local.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
105,- El escaso rol de los gobiernos locales en el diseño de politicas sociales en Chile.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
106,- Marco descentralizador del Estado como parte de la estrategia de modernizacion.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
107,"- Gobierno local, origenes, manifestaciones en el mundo, latinoamerica y en Chile.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
108,- El territorio como categoria social del desarrollo.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
109,- Desarrollo local y complejidad,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
110,"- Dimensiones del desarrollo local: social, economico, urbano, cultural, medioambiental.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
111,- Redes y territorio como marco de lo local.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
112,RA_130_U2.1: Identificar el marco de emergencia de los gobiernos locales como accion descentralizadora del Estado.,R_A,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
113,- La proximidad como estrategia del gobierno local: Municipalismo y desarrollo local.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
114,"- Naturaleza y origen de los gobiernos locales en Chile: El “Cabildo”, la “Comuna Autonoma”, La Municipalidad bajo la constitucion de 1833 y 1925. El Municipio en Frei y Allende. La crisis del Municipalismo: Golpe de Estado y Alcaldes designados.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
115,- Actual Ley Organica de Municipalidades. Funciones Privativas y Compartidas con otros organismos del Estado. La descentralizacion de la salud y educacion a nivel Comunal: Las Corporaciones de Desarrollo Social.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
116,- Orientacion participativa de los Gobiernos Locales: Los presupuestos participativos. Experiencias internacionales y locales.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
117,- Nuevas tendencias en la gestion Municipal: El Gobierno Ciudadano y Local Policy Networks.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
118,- Obstaculizadores del desarrollo local.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
119,- Examinacion de iniciativas locales,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
120,RA_130_U2.2: Describir el contexto historico del desarrollo y la trayectoria del Gobierno Local en Chile. ,R_A,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
121,"- Herramientas Institucionales del Estado de Desarrollo Local: Consejos Regionales, Secretarias Regionales Ministeriales, Delegaciones Ministeriales Provinciales.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
122,- Instrumentos de participacion social vigentes y su efectividad en abordaje y la solucion de problematicas sociales,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
123,- Politicas sociales sectoriales desde lo local: articulacion con el Municipio.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
124,"- Instrumentos de inversion desde lo local: Fondo Regional de Desarrollo Regional, Fondo Regional de Inversion Local, otras fuentes de financiamiento local.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
125,- El Rol de la Subsecretaria de Desarrollo Regional y la Modernizacion pendiente de los Municipios en Chile.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
126,"- Planificacion estrategica desde lo local, Plan de Desarrollo Comunal, PLADECO Plan de Ordenamiento Territorial.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
127,"RA_130_U2.3: Describir las estrategias y mecanismos de diseño, y ejecucion de politicas sociales desde lo local.",R_A,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
128,"- La participacion social desde diversas orientaciones teoricas: Liberalismo (Rawls), Comunitarismo (Etzioni), Multiculturalismo (Touraine), Anarco-Liberalismo (Nozick)",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
129,- La ciudadania como categoria de la democracia liberal.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
130,- La ciudadania desde el enfoque de derechos,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
131,"- La ciudadania y Participacion social, como marco del desarrollo local.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
132,"- Tipos de participacion desde lo local: Informativa, Instrumental, gestionaria, Decisional, Control Ciudadano.",Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
133,- Facilitadores y Obstaculizadores de la actoria social desde lo local.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
134,- Corrientes de pensamiento sobre la participacion social y su expresion en lo local.,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
135,- Facilitadores y obstaculizadores de la participacion desde lo local desde diversas perspectivas teoricas,Contenido,TSO-130,2,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
136,RA_130_U3.1: Identificar los fundamentos teoricos de la participacion de los actores sociales en el Gobierno Local,R_A,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
137,- El marco de la participacion ciudadana y la gestion publica,Contenido,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
138,- La participacion social desde lo territorial: Ley 19.418 de Juntas de Vecinos y demas Organizaciones Comunitarias.,Contenido,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
139,- Ley 20.500 sobre Asociaciones y Participacion Ciudadana en la Gestion Publica.,Contenido,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
140,- La autogestion y corrientes criticas a la participacion ciudadana como mecanismo de control social del Estado y Gobiernos Locales. Logicas de funcionamiento y expresion.,Contenido,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
141,"- Instrumentos de diagnostico y analisis de participacion social desde lo local: Analisis de Involucrados, mapas de actores, cartografia social.",Contenido,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
142,RA_130_U3.2: Distinguir las distintas estrategias legales y procedimentales de participacion social desde lo local.,R_A,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
143,- Revision de una propuesta de participacion de actores en una iniciativa de intervencion desde lo local considerando sus fundamentos teoricos y sus consecuencias practicas.,Contenido,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
144,"RA_130_U3.3: Examinar las distintas estrategias de participacion de un programa/iniciativa social desde lo local y delimitado en un area social (salud, educacion, vivienda, empleo, etc.).",R_A,TSO-130,3,2,4,Basico,Basico,N4-Analizar,Politicas Sociales
145,- Los tres mundos del Estado de Bienestar - Liberal - Corporativista Estatal - Social democrata,Contenido,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
146,- Estados de Bienestar y su anclaje en la cultura de cada uno de los paises en que estos se despliegan.,Contenido,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
147,- Provision de Bienestar - Sistema de Pensiones - Sistema de Salud - Seguridad en el Trabajo - Empleabilidad - Beneficios Sociales,Contenido,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
148,RA_134_U1.1: Distinguir los diferentes tipos de Estado de Bienestar y sus sistemas de seguridad social,R_A,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
149,- La racionalidad del riesgo en la politica social en Chile y el mundo occidental,Contenido,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
150,- De la sociedad industrial a la sociedad de riesgo - Los contornos de la sociedad del riesgo: desigualdades y oportunidades de mercado - Modificacion de la estructura social: la individualizacion,Contenido,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
151,- Transformaciones sociales que fundamentan el Sistema de Proteccion Social en Chile - Envejecimiento de la poblacion - Movimientos migratorios - Cambios epidemiologicos - Transformaciones en el mercado laboral (precarizacion y flexibilizacion) - Desinstitucionalizacion de la familia - Desaceleracion del crecimiento de la poblacion - Inclusion de la mujer al mundo laboral,Contenido,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
152,RA_134_U1.2: Debatir sobre las principales transformaciones sociales que fundamentan el actual Sistema de Proteccion Social en Chile,R_A,TSO_134,1,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
153,"- El sistema de proteccion social en Chile, institucionalidad y enfoque: - Ministerio de Desarrollo Social (FOSIS, INJUV, CONADI, SENAMA, SENADIS) - Ministerio del Trabajo y Prevision Social (ISL, IPS, SUSESO, Direccion del Trabajo) - Ministerio de Salud - Ministerio de Educacion (JUNAEB, JUNJI) - Ministerio deVivienda y Urbanismo (SERVIU) - Ministerio de la Mujer y la Equidad de Genero (SERNAMEG) ",Contenido,TSO_134,2,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
154,RA_134_U2.1: Distinguir la institucionalidad ministerial y los diferentes servicios publicos asociados a ella ,R_A,TSO_134,2,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
155,"- El Sistema Chile Solidario como puesta de entrada al sistema de proteccion social (Ley N°19.949) - El Registro Social de Hogares - El Ingreso etico familiar (FOSIS) - El Programa Vinculos (SENAMA) - El Programa Calle (MIDESO) - El Programa Abriendo Caminos (MIDESO) - Transferencias Economicos: subsidios, subvenciones y bonos no contributivos",Contenido,TSO_134,2,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
156,- El Sistema Previsional como centro de la proteccion social  (Ley N°20.255),Contenido,TSO_134,2,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
157,"- Regimenes financieros de reparto, capitalizacion y mixtos - Pilar contributivo obligatorio (administradora de fondos de pensiones (AFPs), afiliacion al sistema de pensiones, cotizacion previsional, cuentas individuales, declaracion y no pago automatica, subsidio a trabajadores jovenes, seguro de invalidez y sobrevivencia, multifondos, modalidades de retiro) - Pilar contributivo voluntario (ahorro previsional voluntario individual (APV), Ahorro Previsional Voluntario Colectivo (APVC))",Contenido,TSO_134,2,3,4,Intermedio,Basico,N4-Analizar,Politicas Sociales
